Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID;
"31850765,Energy and Civilization: A History,Vaclav Smil,""Smil, Vaclav"",,""=""""0262035774"""""",""=""""9780262035774"""""",0,4.46,Mit Press,Hardcover,568,2017,,,2017/12/05,to-read,to-read (#358),to-read,,,,0,,,0,,,,,";
"23168277,The Sympathizer,Viet Thanh Nguyen,""Nguyen, Viet Thanh"",,""=""""0802123457"""""",""=""""9780802123459"""""",0,4.00,Grove Press,Hardcover,371,2015,2015,,2017/12/05,to-read,to-read (#357),to-read,,,,0,,,0,,,,,";
"24611840,""Believe Me: A Memoir of Love, Death, and Jazz Chickens"",Eddie Izzard,""Izzard, Eddie"",,""=""""1611764696"""""",""=""""9781611764697"""""",0,3.87,Penguin Audio,Audio CD,15,2017,2017,,2017/12/05,to-read,to-read (#356),to-read,,,,0,,,0,,,,,";
"29936927,The Best We Could Do,Thi Bui,""Bui, Thi"",,""=""""1419718770"""""",""=""""9781419718779"""""",0,4.39,Harry N. Abrams,Hardcover,329,2017,2017,,2017/12/05,to-read,to-read (#355),to-read,,,,0,,,0,,,,,";
"70562,""The Gulag Archipelago, 1918-1956: An Experiment in Literary Investigation, Books III-IV"",Aleksandr Solzhenitsyn,""Solzhenitsyn, Aleksandr"",,""=""""006092103X"""""",""=""""9780060921033"""""",0,4.38,Perennial,Paperback,712,1992,1973,,2017/12/05,currently-reading,currently-reading (#4),currently-reading,,,,1,,,0,,,,,";
"246422,""The Gulag Archipelago, 1918-1956: An Experiment in Literary Investigation, Books I-II"",Aleksandr Solzhenitsyn,""Solzhenitsyn, Aleksandr"",""Thomas P. Whitney, Georgi Plekhanov, Leon Trotsky"",""=""""0060803320"""""",""=""""9780060803322"""""",5,4.25,Harper & Row,Mass Market Paperback,660,1974,1973,2017/12/05,2017/12/05,,,read,,,,1,,,0,,,,,";
"4644366,Lotna,Wojciech Żukrowski,""Żukrowski, Wojciech"",,""=""""8322105215"""""",""=""""9788322105214"""""",3,3.09,Wydawnictwo Artystyczne i Filmowe,,68,1989,1969,2017/11/30,2017/11/29,,,read,,,,1,,,0,,,,,";
"207489,The New World of Mr. Tompkins,George Gamow,""Gamow, George"",Russell Stannard,""=""""0521639921"""""",""=""""9780521639927"""""",4,4.10,Cambridge University Press,Paperback,272,2009,1999,2017/11/29,2017/11/03,,,read,,,,1,,,0,,,,,";
"13078116,The Zen of Steve Jobs,Caleb Melby,""Melby, Caleb"",JESS3,""=""""1118295269"""""",""=""""9781118295267"""""",0,3.45,Wiley,Paperback,80,2012,2011,,2017/11/24,to-read,to-read (#354),to-read,,,,0,,,0,,,,,";
"12633800,Models: Attract Women Through Honesty,Mark  Manson,""Manson, Mark"",,""=""""1463750358"""""",""=""""9781463750350"""""",0,4.44,Createspace Independent Publishing Platform,Paperback,246,2011,2011,,2017/11/14,to-read,to-read (#353),to-read,,,,0,,,0,,,,,";
"97642,No More Mr. Nice Guy,Robert A. Glover,""Glover, Robert A."",,""=""""0762415339"""""",""=""""9780762415335"""""",0,4.01,Running Press,Hardcover,208,2003,2000,,2017/11/14,to-read,to-read (#352),to-read,,,,0,,,0,,,,,";
"33600,Shantaram,Gregory David Roberts,""Roberts, Gregory David"",,""=""""192076920X"""""",""=""""9781920769208"""""",0,4.26,Scribe,Paperback,936,2004,2003,,2017/11/10,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,";
"624823,The Philosophy of Friedrich Nietzsche,H.L. Mencken,""Mencken, H.L."",,""=""""1884365310"""""",""=""""9781884365317"""""",0,3.83,See Sharp Press,Paperback,224,2003,1908,,2017/11/09,to-read,to-read (#351),to-read,,,,0,,,0,,,,,";
"9858081,""The Code of the Woosters (Jeeves, #7)"",P.G. Wodehouse,""Wodehouse, P.G."",,""=""""0393339815"""""",""=""""9780393339819"""""",0,4.36,W. W. Norton  Company,Paperback,272,2011,1938,,2017/11/09,to-read,to-read (#350),to-read,,,,0,,,0,,,,,";
"41681,The Jungle,Upton Sinclair,""Sinclair, Upton"",""Earl Lee, Kathleen DeGrave"",""=""""1884365302"""""",""=""""9781884365300"""""",0,3.72,See Sharp Press,Paperback,335,2003,1906,,2017/11/09,to-read,to-read (#349),to-read,,,,0,,,0,,,,,";
"434506,The Bomb in My Garden: The Secrets of Saddam's Nuclear Mastermind,Mahdi Obeidi,""Obeidi, Mahdi"",Kurt Pitzer,""=""""0471741272"""""",""=""""9780471741275"""""",0,3.87,Wiley,Paperback,256,2005,2004,,2017/11/09,to-read,to-read (#348),to-read,,,,0,,,0,,,,,";
"319238,A Clergyman's Daughter,George Orwell,""Orwell, George"",,""=""""0141184655"""""",""=""""9780141184654"""""",0,3.45,Penguin Classics,Paperback,296,2000,1935,,2017/11/09,to-read,to-read (#347),to-read,,,,0,,,0,,,,,";
"9648,Keep the Aspidistra Flying,George Orwell,""Orwell, George"",,""=""""0141183721"""""",""=""""9780141183725"""""",0,3.87,Penguin Books Ltd,Paperback,277,2000,1936,,2017/11/09,to-read,to-read (#346),to-read,,,,0,,,0,,,,,";
"9650,Burmese Days,George Orwell,""Orwell, George"",,""=""""1421808307"""""",""=""""9781421808307"""""",0,3.84,1st World Library,Hardcover,376,2005,1934,,2017/11/09,to-read,to-read (#345),to-read,,,,0,,,0,,,,,";
"9646,Homage to Catalonia,George Orwell,""Orwell, George"",Lionel Trilling,""=""""0156421178"""""",""=""""9780156421171"""""",0,4.14,""Harcourt, Inc.(Harvest Book)"",Paperback,232,1980,1938,,2017/11/09,to-read,to-read (#344),to-read,,,,0,,,0,,,,,";
"393199,Down and Out in Paris and London,George Orwell,""Orwell, George"",,""=""""015626224X"""""",""=""""9780156262248"""""",0,4.10,Mariner Books,Paperback,213,1972,1933,,2017/11/09,to-read,to-read (#343),to-read,,,,0,,,0,,,,,";
"8154188,Psychic Blues,Mark Edward,""Edward, Mark"",,""="""""""""",""="""""""""",0,3.37,,Paperback,245,,2012,,2017/11/08,to-read,to-read (#342),to-read,,,,0,,,0,,,,,";
"334755,Affective Neuroscience: The Foundations of Human and Animal Emotions,Jaak Panksepp,""Panksepp, Jaak"",,""=""""019517805X"""""",""=""""9780195178050"""""",0,4.42,""Oxford University Press, USA"",Paperback,480,2004,1998,,2017/11/07,to-read,to-read (#341),to-read,,,,0,,,0,,,,,";
"2218102,Maps of Meaning: The Architecture of Belief,Jordan B. Peterson,""Peterson, Jordan B."",,""=""""0415922224"""""",""=""""9780415922227"""""",0,4.45,Routledge,Paperback,564,1999,1999,,2017/11/07,to-read,to-read (#340),to-read,,,,0,,,0,,,,,";
"646175,Modern Man in Search of a Soul,C.G. Jung,""Jung, C.G."",,""=""""0156612062"""""",""=""""9780156612067"""""",0,4.16,Harcourt ,Paperback,256,1955,1933,,2017/11/07,to-read,to-read (#339),to-read,,,,0,,,0,,,,,";
"4069,Man's Search for Meaning,Viktor E. Frankl,""Frankl, Viktor E."",,""=""""080701429X"""""",""=""""9780807014295"""""",0,4.33,Beacon Press,Paperback,184,2006,1946,,2017/11/07,to-read,to-read (#338),to-read,,,,0,,,0,,,,,";
"95784,The Rape of Nanking,Iris Chang,""Chang, Iris"",,""=""""0140277447"""""",""=""""9780140277449"""""",0,4.08,Penguin Books,Paperback,290,1998,1997,,2017/11/07,to-read,to-read (#337),to-read,,,,0,,,0,,,,,";
"18452,The Painted Bird,Jerzy Kosiński,""Kosiński, Jerzy"",,""=""""080213422X"""""",""=""""9780802134226"""""",0,3.94,Grove Press,Paperback,234,1995,1965,,2017/11/07,to-read,to-read (#336),to-read,,,,0,,,0,,,,,";
"12321,Beyond Good and Evil,Friedrich Nietzsche,""Nietzsche, Friedrich"",""R.J. Hollingdale, Michael Tanner"",""=""""014044923X"""""",""=""""9780140449235"""""",0,4.01,Penguin Classics,Paperback,240,2003,1886,,2017/11/07,to-read,to-read (#335),to-read,,,,0,,,0,,,,,";
"7144,Crime and Punishment,Fyodor Dostoyevsky,""Dostoyevsky, Fyodor"",David McDuff,""=""""0143058142"""""",""=""""9780143058144"""""",0,4.19,Penguin,Paperback,671,2002,1866,,2017/11/07,to-read,to-read (#334),to-read,,,,0,,,0,,,,,";
"30553,The Road to Wigan Pier,George Orwell,""Orwell, George"",Richard Hoggart,""=""""0141185295"""""",""=""""9780141185293"""""",0,3.88,Penguin Classics,Paperback,215,2001,1937,,2017/11/07,to-read,to-read (#333),to-read,,,,0,,,0,,,,,";
"647492,Ordinary Men: Reserve Police Battalion 101 and the Final Solution in Poland,Christopher R. Browning,""Browning, Christopher R."",,""=""""0060995068"""""",""=""""9780060995065"""""",0,4.05,Harper Perennial,Paperback,271,1993,1992,,2017/11/06,to-read,to-read (#332),to-read,,,,0,,,0,,,,,";
"23754,The Sandman book 1 Preludes & Nocturnes,Neil Gaiman,""Gaiman, Neil"",""Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger"",""=""""1563892278"""""",""=""""9781563892271"""""",5,4.29,Vertigo,Hardcover,240,1998,1989,2017/11/03,2017/04/26,,,read,,,,1,,,0,,,,,";
"963994,Man of Nazareth,Anthony Burgess,""Burgess, Anthony"",,""=""""0070089620"""""",""=""""9780070089624"""""",0,3.74,McGraw-Hill Companies,Hardcover,357,1979,1979,,2017/10/27,to-read,to-read (#331),to-read,,,,0,,,0,,,,,";
"7805,Pale Fire,Vladimir Nabokov,""Nabokov, Vladimir"",,""=""""0141185260"""""",""=""""9780141185262"""""",0,4.19,Penguin Books Ltd,Paperback,246,2000,1962,,2017/10/27,to-read,to-read (#330),to-read,,,,0,,,0,,,,,";
"23261448,The Science of Interstellar,Kip S. Thorne,""Thorne, Kip S."",Christopher J. Nolan,""=""""0393351378"""""",""=""""9780393351378"""""",0,4.19,W. W. Norton & Company,Paperback,336,2014,2014,,2017/10/27,to-read,to-read (#329),to-read,,,,0,,,0,,,,,";
